input_table	_c1	dev_owner	owner_src	life_cycle	table_comment
gd_cdm.dwd_gd_trvl_route_path_drv_di	143537,217551841,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;143537,217572322,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dwd_gd_trvl_log_trail_di;143537,217550814,gd_cdm.dwd_gd_trvl_alley_5link_di,;143537,233474156,gd_cdm.dwd_gd_trvl_opposite_strategy_di,;350347,261568429,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,gd_ads.dws_gd_trvl_navi_metric_drv_di;143537,217551841,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_linkpair_trail_di;350347,261568429,gd_cdm.dwd_gd_trvl_highway_di,gd_ads.dws_gd_trvl_navi_metric_drv_di;350347,242142609,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dwd_gd_trvl_path_detail_di;143537,217551841,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;143537,217551841,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;350347,268703761,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dws_gd_change_path_add_toll_di;350347,242142609,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_path_detail_di;143537,217572322,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_log_trail_di;143537,217572322,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_log_trail_di;350347,242142609,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_path_detail_di	205682	205682	93	高德出行域驾车路线规划明细事实表。每条记录是一次路线规划请求及服务返回。与route表的区别：保留热度字段，增加路线的lind_id(diversity_相关字段)
gd_cdm.dwd_gd_trvl_valid_navi_route_drv_di	143537,203992510,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_trail_penalty_drv_di;143537,203992510,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_trail_penalty_drv_di	143537	143537	400	满足有效导航条件的规划数据表
gd_cdm.dws_gd_change_path_add_toll_di	350347,267639907,gd_ads.ads_gd_trvl_change_toll_drv_1d,	350347	350347	365	公共数仓|汇总数据|APP平台业务中心|驾车导航|换路&收费明细表
gd_cdm.dws_gd_trvl_coverage_1d	143537,203544688,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di	143537	143537	186	路线覆盖率指标结果表
gd_cdm.dws_gd_trvl_navi_drv_1d	143537,233474156,gd_cdm.dwd_gd_trvl_opposite_strategy_di,	143537	143537	1825	导航 | 通用 | 驾车指标明细表
针对每个navi_id有一条记录
gd_cdm.dws_gd_trvl_route_navi_etau_1d	143537,201892771,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.ads_gd_navi_feature_1d;143537,201892771,gd_cdm.dwd_gd_trvl_route_detour_di,gd_ads.ads_gd_navi_feature_1d	205682	205682	400	高德出行域驾车规划-导航汇总表。每条记录是一次导航的信息
gd_cdm.main_tmp_pre_dwd_gd_trvl_circle_detail_di	106847,249539803,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,249539803,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di	185394	185394	180	
gd_cdm.start_reverse_tmp_pre_dwd_gd_trvl_circle_detail_di	106847,247065994,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,247065994,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di	185394	185394	33	
gd_cdm.tmp_dim_gd_link	093318,-,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dim_gd_link;093318,-,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,gd_cdm.dim_gd_link;093318,-,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link;093318,-,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dim_gd_link	091475	091475	7	临时表，用户中转tunnel数据到link维表

gd_cdm.tmp_dwd_gd_trvl_arr_road_raw_quality_di_00	197257,180066282,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.gmatch_gd_trvl_arr_road_di;223879,134262442,gismonitor.yaw_user_match_dd,autonavi_tinfo.circle_choice_sample	143537	143537	186	
gd_cdm.tmp_dwd_gd_trvl_circle_detail_di	106847,245529452,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,253469569,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di;106847,245529452,gd_cdm.dwd_gd_trvl_circle_detail_di,;185394,263131727,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263143055,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di;185394,263131727,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263143055,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di;106847,253469569,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di;185394,263891418,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;106847,253481224,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;106847,245529452,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263891418,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;185394,263131727,gd_cdm.dwd_gd_trvl_circle_detail_di,;106847,253481224,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di	185394	185394	180	
gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di	185394,263131727,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_circle_detail_di,;106847,245529452,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;205682,265436755,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_circle_tag_di;185394,263131727,gd_cdm.dwd_gd_trvl_circle_detail_di,;106847,245529452,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,254396260,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di2	185394	185394	180	
gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di2	106847,245529452,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_circle_detail_di,;106847,245529452,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di	185394	185394	180	linkpair轨迹还原临时表
gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di	106847,245529452,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_circle_detail_di,;185394,263131727,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_circle_detail_di,;185394,263131727,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;205682,265436755,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_circle_tag_di;106847,245529452,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di	185394	185394	180	
gd_cdm.tmp_no_penalty_all_case	143537,230571548,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,;143537,231508056,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,autonavi_navi.dwd_gd_trvl_nopenalty_route_drv_di	143537	143537	2	
gd_ods.imp_s_workingorder	350347,258694697,gd_ads.dws_gd_trvl_diversity_bad_di,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_trvl_navi_di	266321	266321	7	用户反馈表
gd_ods.s_actual_capacity	029023,137736900,gismonitor.yaw_user_match_dd,autonavi_tinfo.basic_link_info2	143116	143116	367	道路数据(ADF+)通行能力全量原始表。
每条记录是一条影响交通通行能力的信息。
主要包含：图幅号、road_id、道路通行情况信息、道路通行能力值。
用途：道路数据挖掘，大编译原始数据

gd_ods.s_drive_recaller_penalty	165637,203891548,gd_cdm.dwd_gd_trvl_route_detour_di,autonavi_navi.dwd_gd_trvl_car_nds_high_penalty_drv_di;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext	350347	350347	400	s_tt_drive_recaller_penalty_tt4解析
gd_ods.s_drive_recaller_penalty_dynamic	165637,203891548,gd_cdm.dwd_gd_trvl_route_detour_di,autonavi_navi.dwd_gd_trvl_car_dynamic_high_penalty_drv_di	350347	350347	400	s_tt_drive_recaller_penalty_dynamic_tt4解析
gd_ods.s_drive_recaller_turn_cost	168848,254108588,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,	341565	341565	400	
gd_ods.s_drive_routing_abnormal_dect	185394,226426913,gd_cdm.dwd_gd_trvl_highway_di,	350347	350347	400	s_tt_drive_routing_abnormal_dect_tt4解析
gd_ods.s_drive_routing_abnormal_dect_hh	350347,200582246,gd_cdm.dwd_gd_trvl_highway_di,gd_ods.s_drive_routing_abnormal_dect	350347	350347	15	s_tt_drive_routing_abnormal_dect_tt4解析
gd_ods.s_drive_routing_cost	205682,259594044,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext;205682,259594044,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext	205682	205682	400	转向路权表，每条记录是一个转向路口的路权及转向动作。主要包含：转向路权、转向动作。用途：导航数据挖掘等业务。注意：非全量路口，不在此表中则认为权值为0，主动作为0：无基本导航动作。
gd_ods.s_gd_poi_base	143116,101190837,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_poi	143116	143116	2000	高德poi基础信息原始表。
每条记录是一个poi的基础信息原始字段，为json串格式。
主要包含poiid、json_str等。
用途：用户CMS使用及生成维度表。
gd_ods.s_m_aat	205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext;205682,259594044,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_ext;205682,259594044,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_ext;143116,117162567,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_1st_ver;143116,117162567,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_1st_ver;143116,117162567,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_1st_ver;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;205682,259594044,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_link_pair_ext	143116	143116	732	道路数据(ADF+)进入和退出道路关系信息全量原始表。
每条记录是进入和退出道路的关系信息。
主要包含：图符号、进入道路编号、关联节点编号、退出道路编号、语音导航信息。
用途：进入和退出道路关系、语音导航、坡度导航

gd_ods.s_navi_route_debug_trace	143537,204001054,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di;143537,204001054,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di;205682,114650474,gd_cdm.dwd_gd_trvl_alley_5link_di,gd_cdm.dwd_gd_trvl_route_path_drv_di;143537,231445623,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,gd_cdm.tmp_no_penalty_all_case;143537,203992510,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_trail_penalty_drv_di;143537,203992510,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_trail_penalty_drv_di;350347,212109404,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;350347,212109404,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;350347,212109404,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;205682,114650474,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dwd_gd_trvl_route_path_drv_di	186680	186680	180	高德出行域debug日志原始表
gd_ods.s_navi_route_nds_route	143537,203544688,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di;143537,230571548,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,	205682	205682	3600	高德出行域驾车路线规划原始表
gd_ods.s_navi_route_nds_route_hh	205682,101435145,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,gd_ods.s_navi_route_nds_route	205682	205682	3	高德出行域驾车路线规划原始表（小时更新）
gd_ods.s_navi_speedrank	186680,101556324,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_navi_drv_di;186680,101556324,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dwd_gd_trvl_navi_drv_di	143537	143537	3600	高德出行域驾车导航原始表
gd_ods.s_node	205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext;143116,117162567,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_1st_ver;201598,247234172,autonavi_navi.dwd_gd_trvl_circle_bad_action_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;201598,247234172,autonavi_navi.dwd_gd_trvl_circle_parallel_cross_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext;143116,117162567,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_1st_ver;143116,117162567,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_1st_ver;205682,270308224,gd_cdm.dwd_gd_trvl_alley_5link_di,	143116	143116	1100	道路数据(ADF+)节点Node全量原始表。
每条记录是一个道路Node信息。
主要包含：图幅号、Nodeid、有无交通灯、收费站节点收费信息。
用途：道路数据挖掘、大编译原始数据

gd_ods.s_path_info	185394,269927063,gd_ads.ads_gd_trvl_3bad_4bad_di,	185394	185394	180	公共数仓|原始数据|导航|服务日志|导航路线规划路线粒度日志，一条数据记录一次导航规划中的一条路线
gd_ods.s_path_info_mm	185394,267457695,gd_ads.ads_gd_trvl_3bad_4bad_di,gd_ods.s_path_info	185394	185394	30	公共数仓|原始数据|导航|服务日志|导航路线规划路线粒度日志，一条数据记录一次导航规划中的一条路线
gd_ods.s_roadfurniture	143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,	143116	143116	400	道路数据(ADF+)道路设施全量原始表，每条记录是一个道路设施信息。 主要包含：图幅号、道路编号、经纬度、道路设施类型 用途：POI数据挖掘
gd_ods.s_route_info_mm	205682,101539611,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gd_cdm.dwd_gd_trvl_alley_5link_di,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gd_ads.ads_gd_trvl_3bad_4bad_di,gd_cdm.dwd_gd_trvl_route_drv_di	185394	185394	30	公共数仓|原始数据|导航|服务日志|导航路线规划日志，一条数据记录一次导航规划
gd_ods.s_rule	205682,259594044,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;143116,117162567,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_1st_ver;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext;143116,117162567,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_1st_ver;205682,259594044,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_link_pair_ext;143116,117162567,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_1st_ver;205682,259594044,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_ext	143116	143116	400	道路数据(ADF+)交通限制全量原始表。
每条记录是记录交通灯所控制方向的信息。
主要包含：图符号、此记录对应路口是节点或 综合交叉点、关联进入道路的用户编号、关联路口节点或综合交叉点的用户编号、退出用户编号、交通限制类型、节假日交通限制类型、车辆类型、载重限制信息、车辆大小限制信息。
用途：记录交通限制信息、大编译原始数据

gd_ods.s_s_aat	205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext	143116	143116	400	道路数据(ADF+)节点邻接全量原始表。
每条记录是记录连接节点和道路的关系信息。
主要包含：图符号、关联节点编号、关联道路编号、行车引导线信息、区域归属。
用途：邻接节点和道路、大编译原始资料

gd_ods.s_speedcamera	205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext	143116	143116	400	道路数据(ADF+)电子眼信息全量原始表。
每条记录是一个电子眼信息。
主要包含：图符号、电子眼id、关联道路编号、经纬度、设施类型。
用途：记录电子眼信息、大编译原始数据

gd_ods.s_sy_node	205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext;143116,117162567,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_1st_ver;143116,117162567,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_1st_ver;143116,117162567,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_1st_ver;205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext	143116	143116	400	道路数据(ADF+)综合交叉点全量原始表。
每条记录是一个综合交叉点信息。
主要包含：图幅号、交叉点id、坐标、有无交通灯、铁路路口
用途：道路数据挖掘、大编译原始数据

gd_ods.s_sym_aat	205682,259594044,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_ext;205682,259594044,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_link_pair_ext;205682,248348411,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_link_pair_ext;205682,248348411,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_link_pair_ext	143116	143116	400	道路数据(ADF+)综合交叉口道路全量原始表。每条记录是进入和退出道路的关系信息。
主要包含：该关系所在图幅号、关联进入道路的用户编号、关联综合交叉点的用户编号、关联退出道路的用户编号、行车引导线信息、行车引导线编号内容、顺行信息、坡度导航。
用途：大编译原始数据

