input_table	_c1	dev_owner	owner_src	life_cycle	table_comment
autonavi_tinfo.minute_event_features	029023,197366987,gismonitor.yaw_user_match_dd,autonavi_tinfo.hour_event_features	029023	029023	180	
autonavi_tinfo.parallel_graph_pair_list_parse	029023,201084123,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.dalgo_parallel_links	223879	223879	33	
autonavi_tinfo.primary_route_link_output	029023,202476989,gismonitor.yaw_user_match_dd,autonavi_tinfo.global_end_link	029023	029023	180	
autonavi_tinfo.railway_trace_set	143537,201892771,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.ads_gd_navi_feature_1d;143537,201892771,gd_cdm.dwd_gd_trvl_route_detour_di,gd_ads.ads_gd_navi_feature_1d	360100	360100	93	
autonavi_tinfo.trace_classify_2class_pred_results	223879,134915244,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch;223879,134915244,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch	268849	268849	300	轨迹分类结果表
autonavi_tinfo.trace_classify_nmv_high_prob_by_activity	143537,201892771,gd_cdm.dwd_gd_trvl_route_detour_di,gd_ads.ads_gd_navi_feature_1d;143537,201892771,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.ads_gd_navi_feature_1d	268849	268849	62	轨迹分类结果应用-基于轨迹行为挖掘高置信非机动车轨迹
autonavi_tinfo.user_stay_feature_v2	344882,226739886,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.yaw_circle_active_stay_tag_buffer_day	223879	223879	33	逗留特征计算与过滤策略
autonavi_tinfo.user_yaw_circle_stay_reason_tag_day	344882,226739886,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.yaw_circle_active_stay_tag_buffer_day	344882	344882	62	偏航回环上逗留原因特征表
autonavi_tinfo.yaw_circle_active_stay_tag_buffer_day	143537,264024680,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_navi.tmp_dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,	344882	344882	186	偏航回环上主动逗留tag中间表
autonavi_tinfo.yaw_links_base_gmatch	223879,134262442,gismonitor.yaw_user_match_dd,autonavi_tinfo.circle_choice_sample;344882,226739886,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.yaw_circle_active_stay_tag_buffer_day;185394,226426913,gd_cdm.dwd_gd_trvl_highway_di,;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;194251,225956898,gismonitor.yaw_user_match_dd,;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di	223879	223879	186	偏航基础数据v3
